time_s,phase,joint_error_rad,target_error_m,effort_nm,penetration_m,receiver_x_m,receiver_y_m,receiver_z_m,arm_x_m,arm_y_m,arm_z_m,upper_x_m,upper_y_m,upper_z_m,payload_x_m,payload_y_m,payload_z_m
0.001,moving,0.2617824870479168,0.3134263565317072,0.0525,0.0,0.034458,0.0,0.06,0.034458000000000016,0.0,0.150873577148,0.03445800000000003,0.0,0.24174715429600002,0.215055577148,0.09087357714800004,0.060000000000000046
0.010000000000000002,moving,0.2616993012910638,0.3135607760084055,0.5233734502867065,5.934771352671309e-05,0.03445784805168146,1.9821147050069765e-08,0.05994879396902846,0.034490867068567715,-1.2539907504743875e-07,0.1507901431229551,0.03447642429603259,-3.764941779553499e-07,0.24164668920305943,0.2150555739629559,0.0908783058180446,0.059761155726711215
0.02000000000000001,moving,0.25996774452965266,0.3135124658947757,0.6256375849171826,8.345749583926802e-05,0.03445791812223009,1.3582444072235411e-08,0.05995191135444765,0.03451760018525841,-5.517689153286542e-07,0.15079088872436147,0.034544398740269905,-1.7482344283892282e-06,0.2416438438075561,0.21505556673598392,0.09087726690884812,0.059802348059109584
0.03000000000000002,moving,0.2548923813603318,0.3132362013064517,0.2973526265896156,6.111912119942536e-05,0.034458018567194305,4.742518499439852e-09,0.05995092892123026,0.034545534457093206,-1.1485788535686714e-06,0.15078840657651033,0.03461503850911253,-3.4588675843112704e-06,0.24164237623904689,0.21505557747382942,0.09087363654909786,0.06033061768191405
0.04000000000000003,moving,0.2506047329470286,0.31300735569842425,0.25514447429741893,4.83480308476504e-05,0.03445805591451673,-2.7694629783914237e-09,0.05995066561590291,0.03456632307763858,-1.7213511806293824e-06,0.15078489758953026,0.034672346018454536,-5.074231221049996e-06,0.24163847851482678,0.2150555885240767,0.09087173223608463,0.06076626962888571
0.05000000000000004,moving,0.2477565836015891,0.3128787899310429,0.39829868871242224,5.98165508789207e-05,0.03445805773945481,-8.482709611123962e-09,0.05995070857714573,0.03457943711810166,-2.2126654286372394e-06,0.15078377757478248,0.034711279280961536,-6.419945698124541e-06,0.24163708076010654,0.21505558339767739,0.09086809759853062,0.06099791915263852
0.060000000000000046,moving,0.2445781228608423,0.3127305752956545,0.41053099948849914,6.114508591571879e-05,0.03445804965418085,-1.0754449393524101e-08,0.059950841291885194,0.034586145595424396,-2.539588175705376e-06,0.1507849040889178,0.034732465742221226,-7.319713489117169e-06,0.2416381239304248,0.2150555849208417,0.09086486221404952,0.06127156542622365
0.07000000000000005,moving,0.24079537131287818,0.31254057961126014,0.3522303436520646,5.8219374590128846e-05,0.0344580384570268,-9.833383135537943e-09,0.05995096831758883,0.034587521586646124,-2.6793721824500127e-06,0.1507861623834722,0.03473810631873887,-7.723257302531122e-06,0.24163947722341256,0.21505558212174142,0.09085850555876795,0.061625848637027025
0.08000000000000006,moving,0.23718160899508933,0.31236055396354384,0.3499568789068359,5.7902295658829676e-05,0.03445802374681717,-7.557649086414875e-09,0.05995110095659802,0.03458454885253809,-2.6586114021780183e-06,0.15078659454933735,0.034731135177552,-7.688099993928554e-06,0.24163997275531152,0.21505558464806923,0.0908513231662717,0.061960047953399246
0.09000000000000007,moving,0.2337962588718823,0.3121965529886761,0.3727657631970063,5.895155404927999e-05,0.034458005278950196,-4.375903774750389e-09,0.05995126176269875,0.034578515114194464,-2.5259495091203843e-06,0.1507863859243947,0.03471542858187717,-7.340796174024056e-06,0.24163977175858012,0.21505558790110793,0.09084425236560767,0.062263280109064525
0.10000000000000007,moving,0.23033653679426558,0.31202784663055916,0.37280506417813974,5.90957521803526e-05,0.03445798604942437,-1.2815940253485536e-09,0.05995142328178256,0.03457104350784097,-2.3389996845757377e-06,0.15078590009514678,0.034695498534318636,-6.833801460298661e-06,0.24163927117318076,0.21505558905709432,0.09083585117081341,0.06257543996145193
0.11000000000000008,moving,0.2267896924172964,0.311852932698015,0.363798677663441,5.87670328560761e-05,0.034457970160778444,1.039983460460192e-09,0.059951547301220834,0.0345637117818775,-2.1477062154516557e-06,0.15078539444857875,0.03467559986987494,-6.303828125900357e-06,0.2416387425629218,0.2150555899900511,0.09082577511303137,0.06289933397818814
0.12000000000000009,moving,0.22327549693701898,0.31167998471289465,0.3640936583406065,5.8788097007429725e-05,0.03445796019717209,2.43735003707668e-09,0.05995161599772954,0.034557668092605416,-1.986244193227099e-06,0.15078501680086082,0.034658886782909036,-5.848668932481593e-06,0.24163834183550437,0.21505559208058453,0.0908147212859011,0.06321925598751055
0.1300000000000001,moving,0.2197938699851307,0.31150927380087234,0.36751868680675415,5.894814725810028e-05,0.03445795619027536,2.996642899100177e-09,0.05995163568887959,0.03455349335388758,-1.872467989889881e-06,0.15078481459537782,0.034647065595964,-5.52212222646245e-06,0.24163812288465084,0.2150555939607821,0.09080280186515373,0.06353473904125509
0.1400000000000001,moving,0.21629811341051253,0.31133759634396496,0.3671807405039811,5.8969660768216785e-05,0.03445795696046264,2.9079110751284443e-09,0.05995162085967599,0.0345512939434742,-1.810745874773062e-06,0.15078483064452264,0.034640574116915325,-5.339847406110598e-06,0.24163814842998016,0.21505559517909195,0.09078969600711523,0.06385189815582198
0.1500000000000001,moving,0.21279028237018788,0.31116498899753636,0.3657879550443335,5.89477937063892e-05,0.034457960676323,2.397813635146573e-09,0.059951587530249636,0.03455084802594801,-1.7958661194319991e-06,0.15078490755631005,0.034638927763441206,-5.289488970137285e-06,0.2416382450141885,0.21505559652917497,0.09077537304550207,0.06417064293924786
0.16000000000000011,moving,0.20928842983304585,0.3109926981794921,0.3658956972628342,5.898024901481194e-05,0.03445796605630535,1.686543859430456e-09,0.05995153862940095,0.03455176225285827,-1.8169785273719485e-06,0.15078489531629463,0.034641086204703575,-5.341898841011022e-06,0.24163823761008368,0.21505559819866946,0.09075997522454164,0.06448860230675545
0.17000000000000012,moving,0.20579094328972936,0.31082065658134267,0.36633787231489734,5.902561462510944e-05,0.0344579719376376,9.39967846613765e-10,0.05995148688859071,0.0345535537837221,-1.8610426655955858e-06,0.1507848109390187,0.034645753150429184,-5.460913206287166e-06,0.24163814725809415,0.21505559981788958,0.09074350797341076,0.06480591230422905
0.18000000000000013,moving,0.20229090006662453,0.3106483867861671,0.36617713102688043,5.904881262490579e-05,0.03445797739998358,2.72953149665911e-10,0.05995144066612397,0.03455573715494132,-1.915287213150735e-06,0.15078469876649073,0.03465160042498328,-5.61059089405902e-06,0.24163802441396112,0.21505560130234325,0.09072591005036418,0.06512347895663953
0.19000000000000014,moving,0.1987892401761481,0.3104759395250309,0.3659080495280449,5.906742534970257e-05,0.03445798175245412,-2.4370823067942915e-10,0.059951405605570864,0.03455788977777437,-1.968888932269569e-06,0.15078459673107392,0.03465746217818134,-5.7602354307240144e-06,0.2416379100700643,0.21505560280512026,0.09070718280462715,0.06544120275747078
0.20000000000000015,moving,0.19528860089945066,0.31030350026604275,0.36587084720353147,5.909411705189398e-05,0.03445798459968731,-5.773437700140605e-10,0.05995138320099022,0.03455970125793021,-2.013969895089951e-06,0.15078453380545667,0.034662468885576204,-5.8873302627472646e-06,0.2416378352104385,0.21505560436030216,0.09068735245639191,0.06575873217127091
0.21000000000000016,moving,0.19178849773311704,0.3101310437597778,0.3658585392681246,5.912154184766574e-05,0.03445798596312747,-7.279588355724176e-10,0.059951376161704976,0.03456099258713663,-2.045969517208701e-06,0.15078455670844107,0.03466610537927936,-5.978647034006468e-06,0.2416378510254798,0.2150556059078814,0.0906664172962691,0.06607611617006826
0.22000000000000017,moving,0.18828793235815555,0.3099585022621788,0.3657489545463477,5.914513476939426e-05,0.03445798596912384,-7.191880077583868e-10,0.05995138007384017,0.034561707932818916,-2.063456471228936e-06,0.1507846058808318,0.0346681908379329,-6.0297225415589795e-06,0.24163790479702432,0.2150556074359805,0.09064436667945205,0.06639348288711741
0.23000000000000018,moving,0.18478713784780998,0.30978589154130176,0.36562775618963705,5.916793003115664e-05,0.034457985003639925,-5.894524243710286e-10,0.05995139054056058,0.03456189333884506,-2.0675833133261545e-06,0.15078464502376943,0.03466882223693542,-6.043416107708033e-06,0.2416379475939595,0.21505560896782727,0.09062120221910142,0.06671080196284193
0.24000000000000019,moving,0.1812864897465038,0.30961323999019547,0.3655382905328892,5.9191563936642605e-05,0.034457983459368936,-3.8954941355973105e-10,0.05995140490391781,0.034561659744833426,-2.0612978985160013e-06,0.15078466993412987,0.03466828706324171,-6.027661014779834e-06,0.24163797404117515,0.21505561050696237,0.09059692863116162,0.06702801966555681
0.25000000000000017,moving,0.17778588081710528,0.3094405431210137,0.36544545552179564,5.92147954391308e-05,0.034457981715866434,-1.7005893221400115e-10,0.05995142007760211,0.03456115089531524,-2.0484080798799376e-06,0.1507846802155584,0.03466696847557253,-5.992896404623943e-06,0.24163798476043485,0.21505561204432874,0.09057154536498141,0.06734514459970348
0.2600000000000002,moving,0.17428517071078578,0.3092677930683254,0.3653340856498257,5.9237043783967455e-05,0.03445798007943363,2.8261996909417775e-11,0.059951433621168185,0.03456051331380217,-2.0327404545820993e-06,0.15078467852278366,0.034665264595486495,-5.94974875565632e-06,0.24163798257816263,0.2150556135790657,0.09054505087554793,0.06766219157133749
0.2700000000000002,moving,0.17078440726632865,0.30909499484349184,0.3652184423460145,5.925881347804733e-05,0.03445797876183695,1.789468608015543e-10,0.05995144399729381,0.03455987432239314,-2.0175204683420267e-06,0.15078466948228514,0.03466352657530714,-5.907284803891716e-06,0.24163797243601445,0.21505561511474153,0.090517445877386,0.06797915101453038
0.2800000000000002,moving,0.1672836425959789,0.30892215418504637,0.3651037456297761,5.9280309081453426e-05,0.034457977874662524,2.70712677968854e-10,0.059951450508575956,0.03455932837420078,-2.0050177963505667e-06,0.15078465730445823,0.034662019211926604,-5.871984841039624e-06,0.2416379589123823,0.2150556166514862,0.0904887314002068,0.06829601207050007
0.2900000000000002,moving,0.16378285586700359,0.30874927182544,0.3649842488475681,5.930132771834572e-05,0.03445797743729677,3.0524419797339775e-10,0.05995145319500929,0.0345589316221234,-1.9964481811074464e-06,0.150784644826211,0.03466090432821339,-5.847421936520242e-06,0.241637945118885,0.21505561818788954,0.09045890754369984,0.06861277335701234
0.3000000000000002,moving,0.16028202788426849,0.30857634844797216,0.364858194617538,5.932179914226417e-05,0.0344579773971457,2.930972547998678e-10,0.05995145265137936,0.034558703577170245,-1.9920750454066605e-06,0.15078463364448666,0.03466024370932941,-5.8345026183875826e-06,0.24163793282970397,0.21505561972397746,0.09042797434471128,0.06892943356614263
0.3100000000000002,moving,0.15678116757389074,0.30840338667909467,0.36472788475020224,5.93418053359176e-05,0.034457977656382505,2.492857899272227e-10,0.05995144978456785,0.03455863381368446,-1.9914343115691457e-06,0.15078462454233452,0.034660016127960595,-5.832065953458726e-06,0.24163792343685003,0.2150556212603068,0.09039593224589135,0.06924598772727683
0.32000000000000023,moving,0.15328028196834984,0.30823038908266825,0.3645938974309395,5.936137084309009e-05,0.03445797809846066,1.8948718288891442e-10,0.05995144566134822,0.03455869130150069,-1.9936093952621636e-06,0.15078461803844345,0.03466014216568789,-5.8376380893225555e-06,0.24163791730218226,0.2150556227968405,0.09036278171538122,0.06956243100649095
0.33000000000000024,moving,0.14977936731819425,0.30805735748012236,0.3644553194954021,5.938046366606298e-05,0.0344579786104842,1.2746804653462895e-10,0.059951441173471204,0.03455883442491133,-1.997497876805865e-06,0.15078461418552203,0.03466051107659861,-5.848178341216065e-06,0.24163791319431416,0.21505562433336164,0.09032852307362166,0.06987875997978565
0.34000000000000025,moving,0.14627842108722922,0.3078842937559815,0.36431197035553,5.939907631955574e-05,0.034457979098954185,7.347176339544959e-11,0.05995143708798679,0.03455901981824076,-2.0020327650763226e-06,0.15078461288117717,0.03466100532037642,-5.860705825439655e-06,0.24163791115592254,0.21505562586989613,0.09029315665776189,0.07019497110916133
0.35000000000000026,moving,0.14277744485157112,0.30771120008451097,0.3641642130752736,5.941722222218732e-05,0.034457979498404664,3.3660595144535677e-11,0.05995143389793108,0.034559209211010654,-2.0063368986744656e-06,0.15078461375728935,0.03466151956207292,-5.872742027075717e-06,0.24163791180725763,0.21505562740652917,0.09025668288433418,0.07051106031893466
0.36000000000000026,moving,0.13927643953662883,0.3075380786083886,0.3640121036731827,5.943490449552746e-05,0.034457979773155595,1.0320095472637902e-11,0.059951431865863825,0.03455937368326302,-2.0098060344656e-06,0.1507846162785701,0.0346619729434379,-5.882554938937273e-06,0.24163791472659898,0.21505562894324803,0.0902191021790586,0.07082702360295899
0.3700000000000003,moving,0.13577540450858525,0.3073649313654265,0.363855501842675,5.9452118607257594e-05,0.03445797991534854,2.6323873636435735e-12,0.05995143096574905,0.034559495536102804,-2.0121278562594547e-06,0.15078461961893552,0.03466231459662478,-5.889223878795952e-06,0.2416379184691116,0.21505563048002116,0.09018041495471775,0.07114285716134454
0.3800000000000003,moving,0.13227433945432773,0.30719176041591395,0.36369439461340747,5.946886433348334e-05,0.03445797993856811,7.582739991462972e-12,0.05995143103984648,0.03455956794414285,-2.0132519634591395e-06,0.15078462304444556,0.03466252337111754,-5.892563765100972e-06,0.241637922228649,0.21505563201685646,0.09014062164079162,0.07145855716011455
